university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
Бердянський державний педагогічний університет,193,,БДПУ,Berdyansk State Pedagogical University,так,1953,02125220,Заклад вищої освіти,Державна,Міністерство освіти і науки України,69600,2310136300,Запорізька область,Запоріжжя,"вул. Жуковського, 66",71100,2310400000,Запорізька область,Бердянськ,"вул. Шмідта, 4","(06153)36244, 0615347468","rector@bdpu.org.ua, rector_bdpu@ukr.net",https://bdpu.org.ua,Ректор,Богданов Ігор Тимофійович,,
Бердянський економіко-гуманітарний коледж Бердянського державного педагогічного університету,1652,193,БЕГК БДПУ,Berdyansk Economics and Humanities College of Berdyansk State Pedagogical University,так,2012,38508322,Заклад вищої освіти,Державна,Міністерство освіти і науки України,69600,2310136300,Запорізька область,Запоріжжя,"вул. Жуковського, 66",71100,2310400000,Запорізька область,Бердянськ,"вул. 12 Грудня, 13/2",06153 35506,begk.bdpu@gmail.com,https:/begk.com.ua,Директор,Макарова Ірина Антонівна,,
Бердянський інститут державного та муніципального управління Класичного приватного університету,1393,,БІДМУ КПУ,Berdiansk State and Municipal Management Institute of Private Classical University,,2011,37963764,Заклад вищої освіти,Приватна,,69002,2310136300,Запорізька область,Запоріжжя,"вул. Жуковського, 70-Б",71112,2310400000,Запорізька область,Бердянськ,"вул. Урицького, З-Д, корпус 2",06153 4-49-20; 4-71-07; 4-71-18,academics@bidmu-kpu.com.ua,,Директор,Галіцина Наталя Вікторівна,,
"Відокремлений підрозділ ""Донецька академія перукарського мистецтва Київського університету культури""",1562,310,Донецька академія перукарського мистецтва КУК,,,2000,26384363,Заклад вищої освіти,Приватна,,69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",0623489294,,,ректор,,,
"Відокремлений підрозділ ""Донецький факультет Київського національного університету культури і мистецтв`",1600,308,Донецький факультет КНУК і М,Separate Division “Donetsk Faculty of Kyiv National University of Culture and Arts”,,2000,26384340,Заклад вищої освіти,Державна,Міністерство освіти і науки України,69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8","(044) 529 98 31, (062) 30 56 231",ciselska@edbo.gov.ua,,декан,,,
"Відокремлений підрозділ ""Донецький факультет менеджменту і бізнесу Київського університету культури""",1571,310,Донецький факультет М і Б КУК,,,2000,33301939,Заклад вищої освіти,Приватна,,69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8","(044)284-64-04, 285-30-83",kuk_kiev@ukr.net,,декан,Крицький Олексій Панасович,,
"Відокремлений підрозділ ""Запорізький факультет Київського національного університету культури і мистецтв""",1601,308,Запорізький факультет КНУК і М,Separate Division “Zaporizhzhia Faculty of Kyiv National University of Culture and Arts”,,2000,26520273,Заклад вищої освіти,Державна,Міністерство освіти і науки України,69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",69096,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8","(044) 529 98 31, (062) 305 62 31, 061-22-48-577",,,декан,,,
"Відокремлений підрозділ ""Запорізький факультет менеджменту і бізнесу Київського університету культури""",1551,310,Запорізький факультет М і Б КУК,,,2000,26520300,Заклад вищої освіти,Приватна,,69069,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8",69069,2310136900,Запорізька область,Запоріжжя,"вул. Медична, 8","061 224 85 77, (044) 284 64 04",,,декан,Юдов Микола Олександрович,,
"Відокремлений структурний підрозділ фаховий коледж Енергодарського інституту державного та муніципального управління імені Р.Г. Хеноха ""Класичного приватного університету""",3509,222,"ВСП ФК ЕІДМУ ""КПУ""",SE Professional College of the Energodar Institute of State and Municipal Management named after R.Khenokh of the Classical Private University,,2000,40330900,Заклад вищої освіти,Приватна,,69002,2310136300,Запорізька область,Запоріжжя,"вул. Жуковського, 70-Б",71503,2312500000,Запорізька область,Енергодар,"вул. Молодіжна, 3А",(06139) 6-32-35,secretar.eigmy@gmail.com,http://eidmu.zp.ua,Директор,Коробчук Уляна Володимирівна,,
"Державний заклад ""Запорізька медична академія післядипломної освіти Міністерства охорони здоров`я України""",3374,,"ДЗ ""ЗМАПО МОЗ України""","State Institution ""Zaporizhia Medical Academy of Post-graduate Education Ministry of Health of Ukraine""",так,2000,01896694,Заклад вищої освіти,Державна,Міністерство охорони здоров`я України,69096,2310136900,Запорізька область,Запоріжжя,"бульв. Вінтера, 20",69096,2310136900,Запорізька область,Запоріжжя,"бульв. Вінтера, 20",(061) 279-16-38,adminzmapo@gmail.com,,Ректор,Никоненко Олександр Семенович,,
