university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
Академія зовнішньої розвідки України,3854,,AЗРУ,The Academy of the Foreign Intelligence of Ukraine,,2000,35333276,Заклад вищої освіти,Державна,,04053,8039100000,КИЇВ,Київ,"вул. Бульварно-Кудрявська, 11",04053,8039100000,КИЇВ,Київ,"вул. Бульварно-Кудрявська, 11",(044) 272-20-68,head_nnc@szru.gov.ua,,Ректор,Кононенко Олександр Валентинович,,
"Академія праці, соціальних відносин і туризму",53,,АПСВТ,"Academy of Labour, Social Relations and Tourism",,1993,04641405,Заклад вищої освіти,Приватна,,03187,8000000000,КИЇВ,Київ,"вул. Кільцева дорога, 3-А",03187,8000000000,КИЇВ,Київ,"вул. Кільцева дорога, 3-А",+38(044) 522-49-40,info@socosvita.kiev.ua,http://www. socosvita.kiev.ua,В.о. ректора,Сухомлин Віктор Борисович,,
"Вищий навчальний заклад Інститут дизайну, архітектури та журналістики (у формі товариства з обмеженою відповідальністю)",1319,,"Вищий навчальний заклад ""Інститут дизайну, архітектури та журналістики""","Higher educational institution “Institute of Design, Architecture and Journalism ”(in the form of limited liability company)",,2000,32594570,Заклад вищої освіти,Приватна,,03039,8038500000,КИЇВ,Київ,"вул. Фрометівська, 2",03039,8038500000,КИЇВ,Київ,"вул. Фрометівська, 2",+380(44)-496-97-60,fb.mail.ir@gmail.com,www.ir.edu.ua,В. о. директора,Бойко Світлана Станіславівна,2022-04-21,"Увага! З дати блокування суб'єкта освітньої діяльності в ЄДЕБО інформація про нього не підтримується в повному, актуальному та достовірному стані"
"Вищий навчальний заклад ""Київська Академія перукарського мистецтва""",865,,"ВНЗ ""КАПМ""","Higher educational institution ""Kyiv Academy of hairdressing art""",,2002,26199252,Заклад вищої освіти,Приватна,,03067,8038900000,КИЇВ,Київ,"вул. Виборзька, 86",03067,8038900000,КИЇВ,Київ,"вул. Виборзька, 86",0444555672,kapm@ukr.net,www.kapi.com.ua,ректор,Лубянська Світлана Павлівна,2022-05-02,"Увага! З дати блокування суб'єкта освітньої діяльності в ЄДЕБО інформація про нього не підтримується в повному, актуальному та достовірному стані"
"Вищий навчальний заклад ""Київський економічний інститут менеджменту"" у формі Товариства з обмеженою відповідальністю",251,,КЕІМ,"Higher Educational Institution ""Kyiv Economic Institute of Management"" Limited company",,1992,16459143,Заклад вищої освіти,Приватна,,03005,8038900000,КИЇВ,Київ,"вул. Смоленська, 31-33",03005,8038900000,КИЇВ,Київ,"вул. Смоленська, 31-33",(044) 456-88-02 (044) 456-72-64,keimkiev@ukr.net,http://ecoman-university.kiev.ua/,Ректор,Рожок Володимир Давидович,,
"Вищий навчальний заклад ""Київський університет ринкових відносин"" у формі товариства з обмеженою відповідальністю",866,,ВНЗ КУРО,Kyiv University for Market Relations,,1990,02030494,Заклад вищої освіти,Приватна,,02152,8036600000,КИЇВ,Київ,"вул. Березняківська, 26-Б",02152,8036600000,КИЇВ,Київ,"вул. Березняківська, 26-Б",553-66-07,rectorat@kumr.edu.ua,kumr.edu.ua,Ректор,Черевань Ірина Вікторівна,,
"Вищий навчальний заклад ""Університет економіки та права ""КРОК""",318,,"Університет ""КРОК""","""KROK"" University",,1992,04635922,Заклад вищої освіти,Приватна,,03113,8039100000,КИЇВ,Київ,"вул. Табірна, 30-32",03113,8039100000,КИЇВ,Київ,"вул. Табірна, 30-32","(044) 455 56 66, 456 84 28",krok@krok.edu.ua,http://krok.edu.ua,Ректор,Лаптєв Сергій Михайлович,,
"Відокремлений структурний підрозділ ""Інститут інноваційної освіти Київського національного університету будівництва і архітектури""",2118,127,"ВСП ""ІІНО КНУБА""","Separate structural unit ""Institute of Innovative Education of Kyiv National University of Construction and Architecture""",,1990,38639433,Заклад вищої освіти,Державна,Міністерство освіти і науки України,03037,8038900000,КИЇВ,Київ,"вул. Освіти, 4",03037,8038900000,КИЇВ,Київ,"вул. Освіти, 4",(044) 2752056,mail.iino@knuba.edu.ua,https://iino.knuba.edu.ua/,Директор,Петроченко Олексій Вячеславович,,
"Відокремлений структурний підрозділ ""Київський фаховий коледж міського господарства Таврійського національного університету імені В.І. Вернадського""",3928,892,"ВСП ""КФКМГ ТНУ ім. В.І.Вернадського""",SEPARATE STRUCTURAL SUBDIVISION «KYIV PROFESSIONAL COLLEGE MUNICIPAL SERVICE V. I. VERNADSKY TAURIDA NATIONAL UNIVERSITY»,так,2000,41120203,Заклад вищої освіти,Державна,Міністерство освіти і науки України,01042,8038200000,КИЇВ,Київ,"вул. Івана Кудрі, 33",01042,8038200000,КИЇВ,Київ,"вул. Івана Кудрі, 33",044 529 02 06,koledg@tnu.edu.ua,kkmg.amu.edu.ua,Директор,Романова Маргарита Іванівна,,
"Відокремлений структурний підрозділ ""Фаховий коледж інформаційних технологій та землевпорядкування Національного авіаційного університету""",566,183,"ВСП ""ФКІТЗ НАУ""","Separate Struktural Subdivision ""Professional College of Information Technology and land Management of the National Aviation Univercity""",,1944,02570575,Заклад вищої освіти,Державна,Міністерство освіти і науки України,03113,8038600000,КИЇВ,Київ,"вул. Дружківська, 6",03113,8038600000,КИЇВ,Київ,"вул. Дружківська, 6",500-93-83,kitz_nau@ukr.net,kitz.nau.edu.ua,виконуюча обов'язки директора,Михайленко Ольга Вікторівна,,
Військовий інститут телекомунікацій та інформатизації імені Героїв Крут,3196,,ВІТІ,Military Institute of Telecommunication and Information technologies named after the Heroes of Kruty,,2015,24978555,Заклад вищої освіти,Державна,Міністерство оборони України,01011,8038200000,КИЇВ,Київ,"вул. Московська, 45/1",01011,8038200000,КИЇВ,Київ,"вул. Московська, 45/1",(044) 2805967,viti@viti.edu.ua,www.viti.edu.ua,Начальник Військового інституту телекомунікацій та інформатизації імені Героїв Крут,Остапчук Віктор Миколайович,,
Воєнно-дипломатична академія імені Євгенія Березняка,2899,,.,Military Diplomatic Academy named after Yevheniy Bereznyak,,1994,14303342,Заклад вищої освіти,Державна,Міністерство оборони України,04050,8000000000,КИЇВ,Київ,"вул. Юрія Іллєнка, 81",04050,8000000000,КИЇВ,Київ,"вул. Юрія Іллєнка, 81",(044) 483-15-64,vdamo@i.ua,,Начальник Воєнно-дипломатичної академії імені Євгенія Березняка,Крисяк Павло Васильович,,
"Горлівський регіональний інститут вищого навчального закладу ""Відкритий міжнародний університет розвитку людини ""Україна""",271,217,"ГРІ ВНЗ ВМУРоЛ ""Україна""","Horlivka Regional Institute of the Higher Educational Institution ""Open International University of Human Development ""Ukraine""",,1999,25757773,Заклад вищої освіти,Приватна,,04071,8038500000,КИЇВ,Київ,"вул. Хорива, 1-Г",04071,8038500000,КИЇВ,Київ,"вул. Хорива, 1-Г",06242-2-90-87; 0505889506; 0502231916,gri_gorlovka@mail.ru,www.griuu.org,в.о. директора,Бодунов Євген Рудольфович,2019-02-12,"Увага! З дати блокування суб'єкта освітньої діяльності в ЄДЕБО інформація про нього не підтримується в повному, актуальному та достовірному стані"
"Державний вищий навчальний заклад ""Київський національний економічний університет імені Вадима Гетьмана""",337,,"ДВНЗ ""КНЕУ ім. В. Гетьмана""",State Higher Educational Institution Kyiv National Economic University named after Vadym Hetman,так,1906,02070884,Заклад вищої освіти,Державна,Міністерство освіти і науки України,03057,8039100000,КИЇВ,Київ,"просп. Перемоги, 54/1",03057,8039100000,КИЇВ,Київ,"просп. Перемоги, 54/1",(044)4565055,documents@kneu.edu.ua,www.kneu.edu.ua,Ректор,Лук`яненко Дмитро Григорович,,
"Державний заклад вищої освіти ""Університет менеджменту освіти""",1395,,"ДЗВО ""УМО""","State higher educational institution ""University of educational management""",,2007,35830447,Заклад вищої освіти,Державна,Національна академія педагогічних наук України,04053,8039100000,КИЇВ,Київ,"вул. Січових Стрільців, 52-А",04053,8039100000,КИЇВ,Київ,"вул. Січових Стрільців, 52-А","(044) 484 10 96, 481 38 00",rector@umo.edu.ua,www.umo.edu.ua,Ректор,Кириченко Микола Олексійович,,
"Державний заклад ""Державна екологічна академія післядипломної освіти та управління""",2876,,"ДЗ ""ДЕА""","State organization ""State Ecological Academy of Post-Graduate Education and Management""",,1992,19491035,Заклад вищої освіти,Державна,Міністерство захисту довкілля та природних ресурсів України,03035,8038900000,КИЇВ,Київ,"вул. Митрополита Василя Липківського, 35",03035,8038900000,КИЇВ,Київ,"вул. Митрополита Василя Липківського, 35",(044) 2063132; 2063187,www.dei2005@ukr.net; Bondar@deamp.onmicrosoft.com,dea.edu.ua,Ректор,Бондар Олександр Іванович,,
Державний торговельно-економічний університет,6594,,ДТЕУ,STATE UNIVERSITY OF TRADE AND ECONOMICS,так,2022,44470624,Заклад вищої освіти,Державна,Міністерство освіти і науки України,02156,8000000000,КИЇВ,Київ,"вул. Кіото, 19",02156,8000000000,КИЇВ,Київ,"вул. Кіото, 19",+380(44)-531-49-49,knute@knute.edu.ua,,Виконуючий обов'язки ректора,Мазаракі Анатолій Антонович,,
Державний університет інфраструктури та технологій,3969,,ДУІТ,State University of Infrastructure and Technologies,так,2016,41330257,Заклад вищої освіти,Державна,Міністерство освіти і науки України,04071,8038500000,КИЇВ,Київ,"вул. Кирилівська, 9",04071,8038500000,КИЇВ,Київ,"вул. Кирилівська, 9",+044(46)-374-70,duit@duit.edu.ua,duit.edu.ua,Ректор,Брайковська Надія Сергіївна,,
Державний університет телекомунікацій,82,,ДУТ,State University of Telecommunications,так,2002,38855349,Заклад вищої освіти,Державна,Міністерство освіти і науки України,03680,8038900000,КИЇВ,Київ,"вул. Солом'янська, 7",03680,8038900000,КИЇВ,Київ,"вул. Солом'янська, 7","(044) 2488593, 2488597",info@vnz-mpu.com.ua,www.dut.edu.ua,Ректор,Толубко Володимир Борисович,,
"Дочірнє підприємство ""Київський хореографічний коледж""",1257,,КХК,"Subsidiary company ""Kyiv Choreographic College""",,2000,32343784,Заклад вищої освіти,Приватна,,03058,8000000000,КИЇВ,Київ,"пров. Ніжинський, 4",03058,8000000000,КИЇВ,Київ,"пров. Ніжинський, 4",(044) 279-11-15,college_horeograf@ukr.net,https://www.choreographic-college.com/,Директор,Кайгородов Дмитро Євгенович,,
Заклад вищої освіти «Відкритий міжнародний університет розвитку людини «Україна»,217,,"Університет ""Україна""",Higher Education Institution 'Open International UNIVERSITY of Human Development 'UKRAINE',так,1998,30373644,Заклад вищої освіти,Приватна,,03115,8000000000,КИЇВ,Київ,"вул. Львівська, 23",03115,8000000000,КИЇВ,Київ,"вул. Львівська, 23",(044) 4287410; 4252322; 4225019; 4252926,office@uu.edu.ua,http://uu.edu.ua,Президент,Таланчук Петро Михайлович,,
"Заклад вищої освіти ""Київський інститут бізнесу та технологій"" товариство з обмеженою відповідальністю",289,,Київський інститут бізнесу та технологій,Higher education institution Kyiv Institute of Business and Technology LLC,,1992,23497925,Заклад вищої освіти,Приватна,,04078,8038500000,КИЇВ,Київ,"пров. Зоряний, 1/5",01103,8038200000,КИЇВ,Київ,"вул. Михайла Бойчука, 18А",(044) 355 02 42; 353 22 42,info@kibit.edu.ua,www.kibit.edu.ua,Ректор,Яковлева Олена Вячеславівна,,
"Заклад вищої освіти ""Міжнародний науково-технічний університет імені академіка Юрія Бугая""",195,,"ЗВО ""МНТУ""","Higher Educational Institution ""Academician Yuriy Bugay International Scientific and Technical University""",,1993,19359117,Заклад вищої освіти,Приватна,,04025,8039100000,КИЇВ,Київ,"вул. Володимирська, 7 корпус 2",04025,8039100000,КИЇВ,Київ,"вул. Володимирська, 7 корпус 2",+38 (044) 353-47-07,istu@istu.edu.ua,www.istu.edu.ua,Президент,Бугай Владислав Юрійович,,
"Заклад вищої освіти ""Міжнародний університет фінансів""",1258,,"ЗВО ""МУФ""","Higher education institution ""International University of Finance",,1993,21547613,Заклад вищої освіти,Приватна,,01025,8039100000,КИЇВ,Київ,"вул. Володимирська, 7, корпус 1",01025,8039100000,КИЇВ,Київ,"вул. Володимирська, 7, корпус 1","(044) 277 43 28 , 277 43 29, 241 73 29",iuf@iuf.kpi.ua,http://iuf.kpi.ua/,Ректор,Смоляр Любов Гаврилівна,,
"Заклад фахової передвищої освіти ""Київський фаховий медичний коледж ім. П.І.Гаврося""",418,,"ЗФПО ""Київський фаховий медичний коледж ім. П.І.Гаврося""",Pre-higher Education Establishment «P.I.Gavros Kyiv Professional Medical College»,,2001,02010764,Заклад вищої освіти,Комунальна,Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації),03126,8038900000,КИЇВ,Київ,"вул. Академіка Білецького, 16",03126,8038900000,КИЇВ,Київ,"вул. Академіка Білецького, 16",(044) 408-44-68,kmkgavr@ukr.net; kmkgavr@health.kiev.ua,www.gavrosya.esy.es,Директор,Підмогильна Лідія Григорівна,,
"Заклад фахової передвищої освіти ""Перший Київський фаховий медичний коледж""",994,,"ЗФПО ""ПКФМК""","The institution off professional pre-higher education ""First Kyiv professional medical college""",,1842,05416113,Заклад вищої освіти,Комунальна,Департамент охорони здоров`я виконавчого органу Київської міської ради (Київської міської державної адміністрації),04050,8039100000,КИЇВ,Київ,"вул. Мельникова, 14",04050,8039100000,КИЇВ,Київ,"вул. Мельникова, 14","4006774, 044-48-39-515, 044-40-000-95",pkmk3d@ukr.net,,Директор,Кузнєцов Володимир Георгійович,,
Інститут державного управління та наукових досліджень з цивільного захисту,5652,,ІДУ НД ЦЗ,Institute of Public Administration and Research in Civil Protection,,,43533709,Заклад вищої освіти,Державна,Державна служба України з надзвичайних ситуацій,04074,8000000000,КИЇВ,Київ,"вул. Вишгородська, 21",04074,8000000000,КИЇВ,Київ,"вул. Вишгородська, 21",+380(44)-430-82-17,iduscz.kyiv@dsns.gov.ua,idundcz.dsns.gov.ua,Начальник,Волянський Петро Борисович,,
Інститут підготовки кадрів державної служби зайнятості України,345,,ІПК ДСЗУ,Ukrainian State Employment Service Training Institute,,1993,16305291,Заклад вищої освіти,Державна,Міністерство соціальної політики України,03038,8038900000,КИЇВ,Київ,"вул. Нововокзальна, 17",03038,8038900000,КИЇВ,Київ,"вул. Нововокзальна, 17","(044)2390798,5361451,5361485",ipk@ipk.edu.ua,www.ipk.edu.ua,Ректор,Войтович Радмила Василівна,,
Інститут Управління державної охорони України Київського національного університету імені Тараса Шевченка,1250,41,Інститут УДО України КНУ ім. Т. Шевченка,Іnstitute of Department of State Guard of Ukraine Taras Shevchenko National University of Kyiv,,2010,37471084,Заклад вищої освіти,Державна,Міністерство освіти і науки України,01601,8039100000,КИЇВ,Київ,"вул. Володимирська, 60",01601,8039100000,КИЇВ,Київ,"вул. Володимирська, 60",0442812509,centr@do.gov.ua,,Т.в.о. начальника,Удовик Микола Станіславович,,
Інститут управління і права Національного юридичного університету імені Ярослава Мудрого,2820,274,.,"Institute of Management and Law, Yaroslav Mudryi National Law University",,2014,39459127,Заклад вищої освіти,Державна,Міністерство освіти і науки України,03057,8038900000,КИЇВ,Київ,"вул. Металістів, 17",03057,8038900000,КИЇВ,Київ,"вул. Металістів, 17",(044) 4010770; 4578538,dipk@ukr.net,,директор,Ткаченко Юрій Володимирович,,
