university_name,university_id,university_parent_id,university_short_name,university_name_en,is_from_crimea,registration_year,university_edrpou,university_type_name,university_financing_type_name,university_governance_type_name,post_index,koatuu_id,region_name,koatuu_name,university_address,post_index_u,koatuu_id_u,region_name_u,koatuu_name_u,university_address_u,university_phone,university_email,university_site,university_director_post,university_director_fio,close_date,primitki
Бахмутський коледж транспортної інфраструктури,378,,.,Bakhmut college of transport infrastructure,так,1955,01116199,Заклад вищої освіти,Державна,Міністерство освіти і науки України,49006,1210100000,Дніпропетровська область,Дніпро,"просп. Пушкіна, 77-а",84500,1410300000,Донецька область,Бахмут,"вул. Миру, 8","+38(0627)412381, 412805",atehzt@gmail.com,atzt.com.ua,В. о. директора,Зінченко Микола Федорович,,
"Вищий навчальний заклад ""Університет імені Альфреда Нобеля""",1271,,"ВНЗ ""Університет імені Альфреда Нобеля""","Higher Educational Institution ""Alfred Nobel University"", Dnipro, Ukraine",,1993,20201672,Заклад вищої освіти,Приватна,,49000,1210136600,Дніпропетровська область,Дніпро,"вул. Січеславська Набережна, 18",49000,1210136600,Дніпропетровська область,Дніпро,"вул. Січеславська Набережна, 18",(056) 31-24-50,info@duan.edu.ua,www.duan.edu.ua,Ректор,Холод Сергій Борисович,,
"Вищий навчальний приватний заклад ""Дніпровський гуманітарний університет""",295,,ДГУ,"Higher Private Educational Institution ""Dnipro Humanitarian University""",,2003,32495593,Заклад вищої освіти,Приватна,,49033,1210100000,Дніпропетровська область,Дніпро,"вул. Єрмолової, 35А",49033,1210100000,Дніпропетровська область,Дніпро,"вул. Єрмолової, 35А",38 (067) 568-44-30,_dgu@ukr.net,dgu.edu.ua,Ректор,Кириченко Олег Вікторович,,
"Відокремлений підрозділ ""Дніпровський факультет Київського національного університету культури і мистецтв""",1602,308,Дніпровський факультет КНУКіМ,"Autonomous Subdivision “Dnipro Branch of Kyiv National University of Culture and Arts""",,2000,26437332,Заклад вищої освіти,Державна,Міністерство освіти і науки України,49000,1210100000,Дніпропетровська область,Дніпро,"вул. Михайла Грушевського, 9",49000,1210100000,Дніпропетровська область,Дніпро,"вул. Михайла Грушевського, 9",056 744 47 62,knukim2021@ukr.net,knukim.edu.ua,Декан,Тимошенко Олена Володимирівна,,
"Відокремлений підрозділ ""Дніпровський факультет менеджменту і бізнесу Київського університету культури""",1559,310,Дніпровський факультет М і Б КУК,Autonomous subdivision “Dnipro Faculty of Management and Business of Kyiv University of Culture”,,2000,26437303,Заклад вищої освіти,Приватна,,49000,1210136600,Дніпропетровська область,Дніпро,"вул. Михайла Грушевського, 9",49000,1210136600,Дніпропетровська область,Дніпро,"вул. Михайла Грушевського, 9","0567442465,0442846404",kuk_kiev@ukr.net,https://kuk-university.com,декан,Сефіханова Катерина Анатоліївна,,
"Відокремлений структурний підрозділ закладу вищої освіти ""Відкритий міжнародний університет розвитку людини ""Україна"" Дніпровський фаховий коледж",234,217,"Дніпровський фаховий коледж Університету ""Україна""","Separate Structural Subdivision Of Higher Education Institution ""Open International University Of Human Development ""Ukraine"" Dnipro Professional College",,1999,25725974,Заклад вищої освіти,Приватна,,49112,1210100000,Дніпропетровська область,Дніпро,"вул. Космонавта Волкова, 6 А",49112,1210100000,Дніпропетровська область,Дніпро,"вул. Космонавта Волкова, 6 А",0661732650,dfvmurol@gmail.com,http://dn.uu.edu.ua,В.о. директора,Шепель Надія Олександрівна,,
"Відокремлений структурний підрозділ ""Фаховий музичний коледж"" комунального вищого навчального закладу ""Дніпропетровська академія музики ім. М.Глінки"" Дніпропетровської обласної ради""",3083,1265,Фаховий музичний коледж Дніпропетровської академії музики ім. М.Глінки,Separate Organization Unit „ Professional Music College” of the Municipal Higher Educational Institution „M.Glinka Dnipropetrovsk Academy of Music” of Dnipropetrovsk Regional Council”,,2015,40037371,Заклад вищої освіти,Комунальна,Департамент освіти і науки Дніпропетровської обласної державної адміністрації,49044,1210136900,Дніпропетровська область,Дніпро,"вул. Ливарна, 10",49044,1210136900,Дніпропетровська область,Дніпро,"вул. Ливарна, 10",(056)720-92-77; (056)720-92-78,akademyglinka@meta.ua; dkdpua@gmail.com,www.dk.dp.ua,В.о. ректора,Новіков Юрій Михайлович,,
"Горлівський інститут іноземних мов Державного вищого навчального закладу ""Донбаський державний педагогічний університет""",1332,17,ГІІМ ДВНЗ ДДПУ,Horlivka Institute for Foreign Languages of the State Higher Educational Institution “Donbas State Pedagogical University”,так,1949,38177129,Заклад вищої освіти,Державна,Міністерство освіти і науки України,49010,1210100000,Дніпропетровська область,Дніпро,"просп. Гагаріна, 72",84500,1410300000,Донецька область,Бахмут,"вул. Василя Першина, 24",+380669823550,giim@forlan.org.ua,forlan.org.ua,Директор,Бєліцька Євгенія Миколаївна,,
"Гуманітарний фаховий коледж Приватної установи ""Заклад вищої освіти ""Міжнародний гуманітарно-педагогічний інститут ""Бейт-Хана""",1105,402,"ГФК ПУ ""ЗВО ""МГПІ ""Бейт- Хана""","Humanitarian professional college of Privat Establish ""The Highest educational state ""International Humanitarian and Pedagogical Institute ""Beit-Hana""",,2011,37805758,Заклад вищої освіти,Приватна,,49080,1210100000,Дніпропетровська область,Дніпро,"вул. Донецьке шосе, 11",49080,1210100000,Дніпропетровська область,Дніпро,"вул. Донецьке шосе, 11",0562-32-55-75,office@bethana.org.ua,www.bethana.org.ua,Директор,Мухіна Марина Віталіївна,,
"Державний вищий навчальний заклад ""Дніпровський коледж залізничного транспорту та транспортної інфраструктури""",481,,ДВНЗ «ДКЗТТІ»,STATE HIGHER EDUCATIONAL INSTITUTION «DNIPROVSKIY COLLEGE OF RAILWAY TRANSPORT AND TRANSPORT INFRASTRUCTURE»,,1902,01116118,Заклад вищої освіти,Державна,Міністерство освіти і науки України,49006,1210100000,Дніпропетровська область,Дніпро,"просп. Пушкіна, 77-а",49006,1210100000,Дніпропетровська область,Дніпро,"просп. Пушкіна, 77-а",0567932699,dkztti@gmail.com,www.dkztti.dp.ua,Директор коледжу,Павленко Ігор Петрович,,
